request	SetSpec	SetName
https://acervodigital.unesp.br/oai/request	com_123456789_1	Objetos Educacionais
https://acervodigital.unesp.br/oai/request	com_123456789_2	Acervo Histórico-Cultural
https://acervodigital.unesp.br/oai/request	com_123456789_3	Objetos Científicos
https://acervodigital.unesp.br/oai/request	com_123456789_4	Documentação permanente
https://acervodigital.unesp.br/oai/request	com_123456789_468	MHAR - Museu de História e Arte Regional
https://acervodigital.unesp.br/oai/request	com_123456789_469	Programa Unesp para Desenvolvimento Sustentável e Outros Acervos de São Luiz do Paraitinga
https://acervodigital.unesp.br/oai/request	com_123456789_472	Coordenação e Avaliação do Programa
https://acervodigital.unesp.br/oai/request	com_123456789_473	Gestão do Plano Diretor Participativo
https://acervodigital.unesp.br/oai/request	com_123456789_486	Assessoria em Direito Público e Privado
https://acervodigital.unesp.br/oai/request	com_123456789_492	Estímulo ao Empreendedorismo
https://acervodigital.unesp.br/oai/request	com_123456789_498	Informações para o Planejamento da Retomada Econômica
https://acervodigital.unesp.br/oai/request	com_123456789_504	Memorial da Reconstrução e das Ações para o Desenvolvimento de SLP
https://acervodigital.unesp.br/oai/request	com_123456789_510	Novas Formas de Habitar
https://acervodigital.unesp.br/oai/request	com_123456789_518	Perenização das Estradas Rurais do Município
https://acervodigital.unesp.br/oai/request	com_123456789_525	Sistema de Informação
https://acervodigital.unesp.br/oai/request	com_123456789_531	Soluções Hidráulicas para a Proteção das Áreas de Riscos
https://acervodigital.unesp.br/oai/request	com_123456789_539	Tecnologia Construtiva Industrializada em Madeira
https://acervodigital.unesp.br/oai/request	com_123456789_550	Outros Acervos
https://acervodigital.unesp.br/oai/request	com_123456789_25954	Comunicação e Imprensa
https://acervodigital.unesp.br/oai/request	com_123456789_38866	TV Unesp Assis
https://acervodigital.unesp.br/oai/request	com_123456789_47387	Universidade do Livro
https://acervodigital.unesp.br/oai/request	com_123456789_65377	NEaD
https://acervodigital.unesp.br/oai/request	com_123456789_65797	Biblioteca do Instituto de Artes - Digital - bi@Unesp
https://acervodigital.unesp.br/oai/request	com_unesp_141287	Portfólio
https://acervodigital.unesp.br/oai/request	com_unesp_179663	ARTES CÊNICAS
https://acervodigital.unesp.br/oai/request	com_unesp_179664	Bob souza
https://acervodigital.unesp.br/oai/request	com_unesp_179666	Programas de Espetáculos
https://acervodigital.unesp.br/oai/request	com_unesp_252224	Faculdade de Medicina de Botucatu - FMB
https://acervodigital.unesp.br/oai/request	com_unesp_252225	Centro de Memória da FMB/Unesp
https://acervodigital.unesp.br/oai/request	com_unesp_252233	Núcleo de Educação a Distância e Tecnologias da Informação em Saúde - NEAD.TIS
https://acervodigital.unesp.br/oai/request	com_unesp_252238	Assessoria de Comunicação e Imprensa - ACI
https://acervodigital.unesp.br/oai/request	com_unesp_252372	Publicações NEaD
https://acervodigital.unesp.br/oai/request	com_unesp_252373	Revista InFor
https://acervodigital.unesp.br/oai/request	com_unesp_325909	Cursos NEaD
https://acervodigital.unesp.br/oai/request	com_unesp_337597	ARTES VISUAIS
https://acervodigital.unesp.br/oai/request	com_unesp_337598	MÚSICA
https://acervodigital.unesp.br/oai/request	com_unesp_337616	História da Arte
https://acervodigital.unesp.br/oai/request	com_unesp_337623	Material Didático
https://acervodigital.unesp.br/oai/request	com_unesp_337629	Oficinas
https://acervodigital.unesp.br/oai/request	com_unesp_337633	Material Didático
https://acervodigital.unesp.br/oai/request	com_unesp_337634	Produção Artística
https://acervodigital.unesp.br/oai/request	com_unesp_337635	Produção Científica
https://acervodigital.unesp.br/oai/request	com_unesp_337636	Oficinas
https://acervodigital.unesp.br/oai/request	com_unesp_337639	Áudio e Vídeo
https://acervodigital.unesp.br/oai/request	com_unesp_337642	Material Didático
