request	SetSpec	SetName
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae	Acta Scientiae Veterinariae
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Rev	Review
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Mini+Review	Mini Review
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Art	Articles
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:short	Short Communication
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Case	Case Report
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Hospital+Forum	Hospital Forum
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Adt	Abstracts of dissertations and theses
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai/?verb=ListSets	ActaScientiaeVeterinariae:Fast+Track	Fast Track
http://seer.ufrgs.br/index.php/anaisfamed/oai/?verb=ListSets	anaisfamed	Anais da Faculdade de Medicina de Porto Alegre
http://seer.ufrgs.br/index.php/anaisfamed/oai/?verb=ListSets	anaisfamed:ART	Artigos
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos	AEDOS
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:EXP	Expediente
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:ED	Editorial
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:SLD	Saudação
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:APR	Apresentação
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:COM	Comunicações
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:CON	Conferências
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:DT	Dossiê Temático
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:ART	Artigos
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:MR	Mesa Redonda
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:RE	Resenhas
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:RC	Resenhas de Clássicos
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:ENT	Entrevistas
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:FP	Fonte Primária
http://seer.ufrgs.br/index.php/aedos/oai/?verb=ListSets	aedos:TRA	Traduções
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90	Anos 90
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:ART	Artigos
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:RES	Resenhas
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:ENT	Entrevista
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:APRES	Apresentação
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DHM	Dossiê: História e Memória
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DHG	Dossiê: História e Gênero
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:PPG	Programa de Pós-Graduação em História
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:SXC	Saber e poder ao tempo de Afonso X de Castela
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:CSP	Cultura e sociedade em Portugal
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:MPD	Memórias, percursos e desafios
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:HAA	História antiga e arqueologia clássica
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DAP	Dossiê projeto Apollonia
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DTS	Dossiê I - Trabalhismo(s)
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DTF	Dossiê II - Foucault: jogos e diálogos
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:TRA	Traduções
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DSE	Dossiê etnicidade
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:LPR	Linhas de pesquisa - Reflexões
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:ERI	Ex-alunos - Repensando Itinerários
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:TEP	Teoria e Pesquisa
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DAB	Dossiê: África - Brasil
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DHF	Dossiê: A História e suas fontes
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DAL	Dossiê História Intelectual Latino-Americana
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DAT	Dossiê Antiguidade no Brasil Contemporâneo
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:HPQTM	Dossiê: História e Patrimônio: questões teóricas e metodológicas
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:VGMMA	Dossiê: Violência, Guerra e Migração no Mundo Antigo
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:PA80	Dossiê: Presença dos anos 1980: esperanças, nostalgias e historiografia
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:CDAF	Dossiê: As conexões e as dinâmicas atlânticas na formação do mundo moderno
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DMT	Dossiê: Mundos do Trabalho
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DHIA	Dossiê: História indígena na América
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DSN	Dossiê:Ditaduras de Segurança Nacional  no Cone Sul (n. 35)
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DCL	Dossiê: Campanha da Legalidade
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DHM	Dossiê: História e Mídia (v.19 n.36)
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:exp	Expediente
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:RLA	Redes Latino-americanas (n.37)
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:DUN	Universo normativo e relações de poder na Idade Média: doutrinas, regras, leis e resoluções de conflitos entre os século
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:HCH	Dossiê: História e cultura histórica no alvorecer da época moderna (séculos XIV-XVII)
http://seer.ufrgs.br/index.php/anos90/oai/?verb=ListSets	anos90:EDT	Editorial
