REPOSITORIO	Fonte de Dados
http://seer.ufrgs.br/index.php/ActaScientiaeVeterinariae/oai?verb=ListSets	Acta Scientiae Veterinariae
http://seer.ufrgs.br/index.php/anaisfamed/oai?verb=ListSets	Anais da Faculdade de Medicina de Porto Alegre
http://seer.ufrgs.br/index.php/aedos/oai?verb=ListSets	AEDOS
http://seer.ufrgs.br/index.php/anos90/oai?verb=ListSets	Anos 90
http://seer.ufrgs.br/index.php/ambienteconstruido/oai?verb=ListSets	Ambiente Construído
http://seer.ufrgs.br/index.php/AnaliseEconomica/oai?verb=ListSets	Análise Econômica
http://seer.ufrgs.br/index.php/riograndemed/oai?verb=ListSets	Arquivos rio-grandenses de medicina
http://seer.ufrgs.br/index.php/austral/oai?verb=ListSets	AUSTRAL: Revista Brasileira de Estratégia e Relações Internacionais
http://seer.ufrgs.br/index.php/bgg/oai?verb=ListSets	Boletim Gaúcho de Geografia
http://seer.ufrgs.br/index.php/brasilbrazil/oai?verb=ListSets	Brasil/Brazil
http://seer.ufrgs.br/index.php/cadernosdeinformatica/oai?verb=ListSets	Cadernos de Informática
http://seer.ufrgs.br/index.php/cadernosdetraducao/oai?verb=ListSets	Cadernos de Tradução
http://seer.ufrgs.br/index.php/CadernosdoAplicacao/oai?verb=ListSets	Cadernos do Aplicação
http://seer.ufrgs.br/index.php/ppgdir/oai?verb=ListSets	Cadernos do Programa de Pós-Graduação em Direito – PPGDir./UFRGS
http://seer.ufrgs.br/index.php/cadernosdoil/oai?verb=ListSets	Cadernos do IL
http://seer.ufrgs.br/index.php/hcpa/oai?verb=ListSets	Clinical and Biomedical Research
http://seer.ufrgs.br/index.php/ConTexto/oai?verb=ListSets	ConTexto
http://seer.ufrgs.br/index.php/cena/oai?verb=ListSets	Cena
http://seer.ufrgs.br/index.php/cenamov/oai?verb=ListSets	Cena em Movimento
http://seer.ufrgs.br/index.php/ConjunturaAustral/oai?verb=ListSets	Conjuntura Austral
http://seer.ufrgs.br/index.php/CienciasSociaiseReligiao/oai?verb=ListSets	Ciencias Sociales y Religión/Ciências Sociais e Religião
http://seer.ufrgs.br/index.php/contingentia/oai?verb=ListSets	Contingentia
http://seer.ufrgs.br/index.php/debatesdoner/oai?verb=ListSets	Debates do NER
http://seer.ufrgs.br/index.php/riterm/oai?verb=ListSets	Debate Terminológico. ISSN: 1813-1867
http://seer.ufrgs.br/index.php/dar/oai?verb=ListSets	Drug Analytical Research
http://seer.ufrgs.br/index.php/educacaoerealidade/oai?verb=ListSets	Educação & Realidade
http://seer.ufrgs.br/index.php/EmQuestao/oai?verb=ListSets	Em Questão
http://seer.ufrgs.br/index.php/EmPauta/oai?verb=ListSets	Em Pauta
http://seer.ufrgs.br/index.php/episteme/oai?verb=ListSets	Episteme
http://seer.ufrgs.br/index.php/EspacoAmerindio/oai?verb=ListSets	Espaço Ameríndio
http://seer.ufrgs.br/index.php/estatisticaesociedade/oai?verb=ListSets	Estatística e Sociedade
http://seer.ufrgs.br/index.php/RevEnvelhecer/oai?verb=ListSets	Estudos Interdisciplinares sobre o Envelhecimento
http://seer.ufrgs.br/index.php/fineduca/oai?verb=ListSets	FINEDUCA - Revista de Financiamento da Educação
http://seer.ufrgs.br/index.php/asphe/oai?verb=ListSets	History of Education Journal
http://seer.ufrgs.br/index.php/horizontesantropologicos/oai?verb=ListSets	Horizontes Antropológicos
http://seer.ufrgs.br/index.php/icone/oai?verb=ListSets	Ícone: Revista Brasileira de História da Arte
http://seer.ufrgs.br/index.php/iluminuras/oai?verb=ListSets	ILUMINURAS
http://seer.ufrgs.br/index.php/InfEducTeoriaPratica/oai?verb=ListSets	Informática na educação: teoria & prática
http://seer.ufrgs.br/index.php/intexto/oai?verb=ListSets	Intexto
http://seer.ufrgs.br/index.php/Movimento/oai?verb=ListSets	Movimento (ESEFID/UFRGS)
http://seer.ufrgs.br/index.php/NauLiteraria/oai?verb=ListSets	Nau Literária
http://seer.ufrgs.br/index.php/organon/oai?verb=ListSets	Organon
http://seer.ufrgs.br/index.php/paraonde/oai?verb=ListSets	Para Onde!?
http://seer.ufrgs.br/index.php/PesquisasemGeociencias/oai?verb=ListSets	Pesquisas em Geociências
http://seer.ufrgs.br/index.php/philia/oai?verb=ListSets	Revista PHILIA | Filosofia, Literatura & Arte
http://seer.ufrgs.br/index.php/Philiaefilia/oai?verb=ListSets	Philia&Filia
http://seer.ufrgs.br/index.php/Poled/oai?verb=ListSets	Políticas Educativas
http://seer.ufrgs.br/index.php/PortoArte/oai?verb=ListSets	PORTO ARTE: Revista de Artes Visuais
http://seer.ufrgs.br/index.php/ProdutoProducao/oai?verb=ListSets	Produto & Produção
http://seer.ufrgs.br/index.php/PsicReflexaoCritica/oai?verb=ListSets	Psicologia: Reflexão e Crítica | Psychology: Research and Review
http://seer.ufrgs.br/index.php/renote/oai?verb=ListSets	RENOTE
http://seer.ufrgs.br/index.php/resseveraverumgaudium/oai?verb=ListSets	Res Severa Verum Gaudium
http://seer.ufrgs.br/index.php/rbea/oai?verb=ListSets	Revista Brasileira de Estudos Africanos
http://seer.ufrgs.br/index.php/rbed/oai?verb=ListSets	Revista Brasileira de Estudos de Defesa
http://seer.ufrgs.br/index.php/presenca/oai?verb=ListSets	Revista Brasileira de Estudos da Presença
http://seer.ufrgs.br/index.php/paleontologia/oai?verb=ListSets	Revista Brasileira de Paleontologia
http://seer.ufrgs.br/index.php/rbpae/oai?verb=ListSets	Revista Brasileira de Política e Administração da Educação - Periódico científico editado pela ANPAE
http://seer.ufrgs.br/index.php/revpgdr/oai?verb=ListSets	Desenvolvimento Rural Interdisciplinar
http://seer.ufrgs.br/index.php/conexaoletras/oai?verb=ListSets	Revista Conexão Letras
http://seer.ufrgs.br/index.php/contraponto/oai?verb=ListSets	Revista Contraponto
http://seer.ufrgs.br/index.php/revfacdir/oai?verb=ListSets	Revista da Faculdade de Direito
http://seer.ufrgs.br/index.php/RevistadaFaculdadeOdontologia/oai?verb=ListSets	Revista da Faculdade de Odontologia de Porto Alegre
http://seer.ufrgs.br/index.php/agronomia/oai?verb=ListSets	Revista de Agronomia
http://seer.ufrgs.br/index.php/redppc/oai?verb=ListSets	Revista Eletrônica de Direito Penal e Política Criminal
http://seer.ufrgs.br/index.php/rita/oai?verb=ListSets	Revista de Informática Teórica e Aplicada
http://seer.ufrgs.br/index.php/reic/oai?verb=ListSets	Revista Eletrônica de Iniciação Científica em Computação
http://seer.ufrgs.br/index.php/debates/oai?verb=ListSets	Revista Debates
http://seer.ufrgs.br/index.php/revistaihgrgs/oai?verb=ListSets	Revista do Instituto Histórico e Geográfico do Rio Grande do Sul
http://seer.ufrgs.br/index.php/revistadoscursos/oai?verb=ListSets	Revista dos Cursos da Faculdade de Medicina de Porto Alegre
http://seer.ufrgs.br/index.php/read/oai?verb=ListSets	Revista Eletrônica de Administração
http://seer.ufrgs.br/index.php/RevistaGauchadeEnfermagem/oai?verb=ListSets	Revista Gaúcha de Enfermagem
http://seer.ufrgs.br/index.php/gearte/oai?verb=ListSets	Revista GEARTE
http://seer.ufrgs.br/index.php/revistadolhiste/oai?verb=ListSets	Revista do Lhiste - Laboratório de Ensino de História e Educação
http://seer.ufrgs.br/index.php/perfil/oai?verb=ListSets	Revista Perfil
http://seer.ufrgs.br/index.php/RevistaPerspectiva/oai?verb=ListSets	Revista Perspectiva: reflexões sobre a temática internacional
http://seer.ufrgs.br/index.php/PolisePsique/oai?verb=ListSets	Revista Polis e Psique
http://seer.ufrgs.br/index.php/ScientiaTec/oai?verb=ListSets	Revista ScientiaTec
http://seer.ufrgs.br/index.php/RevistaValise/oai?verb=ListSets	Revista-Valise
http://seer.ufrgs.br/index.php/saberesplurais/oai?verb=ListSets	Saberes Plurais: Educação na Saúde
http://seer.ufrgs.br/index.php/jis/oai?verb=ListSets	SBC Journal on 3D Interactive Systems
http://seer.ufrgs.br/index.php/sociologias/oai?verb=ListSets	Sociologias
http://seer.ufrgs.br/index.php/translatio/oai?verb=ListSets	Translatio
http://seer.ufrgs.br/index.php/webmosaica/oai?verb=ListSets	WebMosaica
http://periodicos.unb.br/index.php/abya/oai?verb=ListSets	Abya-yala: Revista sobre Acesso à Justiça e Direitos nas Américas
http://periodicos.unb.br/index.php/CMD/oai?verb=ListSets	Arquivos do CMD
http://periodicos.unb.br/index.php/archai/oai?verb=ListSets	Archai: Revista de estudos sobre as origens do pensamento ocidental
http://periodicos.unb.br/index.php/belasinfieis/oai?verb=ListSets	Revista Belas Infiéis
http://periodicos.unb.br/index.php/cs/oai?verb=ListSets	Caderno de Squibs: Temas em estudos formais da linguagem
